date,action,ticker,price,note,analyst
2023-02-21,BUY,ENPH,204.42,,Knox Ridley
2023-02-16,SELL,DDOG,81.9,,Knox Ridley
2023-02-14,BUY,ENPH,206.98,,Knox Ridley
2023-02-11,SELL,QLD,44.3,,Knox Ridley
2023-02-09,SELL,AEHR,34.55,,Knox Ridley
2023-02-09,SELL,QLD,44.87,,Knox Ridley
2023-02-09,SELL,TSLA,211.28,,Knox Ridley
2023-02-09,SELL,AMD,86.56,,Knox Ridley
2023-02-08,SELL,MGNI,12.4,,Knox Ridley
2023-02-08,SELL,AEHR,34.67,,Knox Ridley
2023-02-08,SELL,TSLA,200.76,,Knox Ridley
2023-02-08,SELL,NVDA,226.55,,Knox Ridley
2023-02-08,SELL,DDOG,81.24,,Knox Ridley
2023-02-08,BUY,ENPH,237.62,,Knox Ridley
2023-02-03,BUY,QLD,47.25,,Knox Ridley
2023-02-02,BUY,QLD,46.75,,Knox Ridley
2023-02-01,BUY,TSLA,158.84,,Knox Ridley
2023-01-26,BUY,AEHR,33.5,,Knox Ridley
2023-01-23,BUY,NFLX,321.75,,Knox Ridley
2023-01-17,SELL,QLD/ARKW,38.25,,Knox Ridley
2023-01-12,BUY,QLD/ARKW,37.92,,Knox Ridley
2023-01-12,SELL,NFLX,323.7,,Knox Ridley
2023-01-09,SELL,ENPH,232.25,,Knox Ridley
2023-01-09,SELL,AEHR,26.92,,Knox Ridley
2023-01-06,SELL,S,13.27,,Knox Ridley
2023-01-06,SELL,DDOG,64.12,,Knox Ridley
2023-01-05,BUY,ENPH,245.45,,Knox Ridley
2023-01-05,SELL,S,13.95,,Knox Ridley
2023-01-04,SELL,SNOW,128.9,,Knox Ridley
2023-01-03,SELL,ETHUSD,1214.3,,Knox Ridley
2023-01-03,SELL,BTCUSD,16173.38,,Knox Ridley
2022-12-30,SELL,LINKUSD,5.49,,Knox Ridley
2022-12-30,BUY,TSM,74.67,,Knox Ridley
2022-12-22,BUY,NVDA,149.23,,Knox Ridley
2022-12-19,BUY,TSM,76.05,,Knox Ridley
2022-12-19,BUY,AEHR,22.03,,Knox Ridley
2022-12-16,BUY,TSM,76.7,,Knox Ridley
2022-12-16,BUY,NFLX,288.33,,Knox Ridley
2022-12-15,SELL,NVDA,174.67,,Knox Ridley
2022-12-12,SELL,MDB,143.88,,Knox Ridley
2022-12-02,BUY,MRVL,42.18,,Knox Ridley
2022-12-02,SELL,NFLX,316.48,,Knox Ridley
2022-12-01,SELL,CRWD,122.21,,Knox Ridley
2022-12-01,SELL,AEHR,27.24,,Knox Ridley
2022-11-30,SELL,SNOW,140.62,,Knox Ridley
2022-11-29,BUY,MGNI,9.98,,Knox Ridley
2022-11-22,SELL,BTCUSD,16113.0,,Knox Ridley
2022-11-16,SELL,AEHR,22.72,,Knox Ridley
2022-11-16,SELL,DLO,18.75,,Knox Ridley
2023-11-15,SELL,AMD,77.28,,Knox Ridley
2023-11-14,SELL,NVDA,163.2,,Knox Ridley
2023-11-14,SELL,AEHR,24.98,,Knox Ridley
2023-11-10,SELL,AEHR,23.1,,Knox Ridley
2023-11-10,SELL,ALGOUSD,0.27,,Knox Ridley
2023-11-09,BUY,BTCUSD,16855.0,,Knox Ridley
2023-11-08,BUY,ETHUSD,1372.0,,Knox Ridley
2023-11-07,BUY,NFLX,255.08,,Knox Ridley
2023-11-07,BUY,ENPH,265.21,,Knox Ridley
2023-11-04,BUY,ENPH,274.95,,Knox Ridley
2023-11-04,SELL,MARA,10.7,,Knox Ridley
2023-11-04,SELL,S,17.9,,Knox Ridley
2023-11-04,BUY,AEHR,18.82,,Knox Ridley
2023-11-04,BUY,NFLX,265.9,,Knox Ridley
2023-11-03,SELL,TWLO,67.05,,Knox Ridley
2023-11-02,BUY,MARA,11.7,,Knox Ridley
2023-10-28,SELL,NFLX,295.37,,Knox Ridley
2023-10-27,SELL,SHOP,30.55,,Knox Ridley
2023-10-26,SELL,SHOP,30.41,,Knox Ridley
2023-10-26,BUY,QLD,40.57,,Knox Ridley
2023-10-26,BUY,ALGOUSD,0.33,,Knox Ridley
2023-10-21,BUY,AEHR,19.7,,Knox Ridley
2023-10-21,SELL,SNAP,7.56,,Knox Ridley
2023-10-19,SELL,LRCX,334.87,,Knox Ridley
2023-10-14,BUY,AMD,57.34,,Knox Ridley
2023-10-13,BUY,CRWD,142.57,,Knox Ridley
2023-10-13,BUY,AEHR,14.1,,Knox Ridley
2023-10-13,BUY,NVDA,108.51,,Knox Ridley
2023-10-11,SELL,AEHR,15.82,,Knox Ridley
2023-10-05,BUY,DLO,23.72,,Knox Ridley
2023-10-05,SELL,MDB,199.85,,Knox Ridley
2023-10-05,BUY,CRWD,171.72,,Knox Ridley
2023-10-04,BUY,TWLO,76.02,,Knox Ridley
2023-10-04,BUY,MARA,12.5,,Knox Ridley
2023-09-26,BUY,SNAP,10.54,,Knox Ridley
2023-09-22,BUY,ETHUSD,1248.0,,Knox Ridley
2023-09-21,BUY,AMD,76.88,,Knox Ridley
2023-09-14,SELL,GOOGL,110.49,,Knox Ridley
2023-09-09,SELL,MDB,255.52,,Knox Ridley
2023-09-06,BUY,NFLX,217.53,,Knox Ridley
2023-09-02,BUY,ETHUSD,1575.0,,Knox Ridley
2023-09-02,SELL,AVAXUSD,18.89,,Knox Ridley
2023-08-31,BUY,SNOW,181.5,,Knox Ridley
2023-08-30,BUY,NFLX,220.71,,Knox Ridley
2023-08-30,SELL,AEHR,15.32,,Knox Ridley
2023-08-25,BUY,MDB,360.25,,Knox Ridley
2023-08-25,BUY,SNOW,191.55,,Knox Ridley
2023-08-25,SELL,ROKU,71.5,,Knox Ridley
2023-08-25,SELL,NVDA,171.51,,Knox Ridley
2023-08-25,BUY,AEHR,17.2,,Knox Ridley
2023-08-19,BUY,ETHUSD,1691.0,,Knox Ridley
2023-08-16,SELL,MGNI,9.82,,Knox Ridley
2022-08-12,SELL,ROKU,81.05,,Knox Ridley
2022-08-12,SELL,AMD,100.05,,Knox Ridley
2022-08-12,SELL,NVDA,180.08,,Knox Ridley
2022-08-11,SELL,DLO,30.17,,Knox Ridley
2022-08-11,BUY,DLO,31.79,,Knox Ridley
2022-08-10,SELL,CRWD,199.61,,Knox Ridley
2022-08-10,SELL,DDOG,117.21,,Knox Ridley
2022-08-05,SELL,SNOW,163.09,,Knox Ridley
2022-08-04,SELL,SNOW,159.42,,Knox Ridley
2022-07-30,SELL,ETHUSD,1723.0,,Knox Ridley
2022-07-30,SELL,BTCUSD,24481.0,,Knox Ridley
2022-07-29,SELL,TWLO,84.05,,Knox Ridley
2022-07-29,SELL,ASAN,18.85,,Knox Ridley
2022-07-28,BUY,CRWD,172.62,,Knox Ridley
2022-07-22,SELL,SNAP,10.81,,Knox Ridley
2022-07-20,BUY,SNOW,152.81,,Knox Ridley
2022-07-20,BUY,MDB,284.57,,Knox Ridley
2022-07-12,SELL,AVAXUSD,16.52,,Knox Ridley
2022-06-13,BUY,NVDA,158.99,,Knox Ridley
2022-06-13,BUY,AMD,89.41,,Knox Ridley
2022-06-13,BUY,MDB,243.35,,Knox Ridley
2022-06-09,SELL,AVAXUSD,24.63,,Knox Ridley
2022-06-09,SELL,LINKUSD,9.23,,Knox Ridley
2022-06-09,SELL,CFLT,22.32,,Knox Ridley
2022-06-07,SELL,S,23.78,,Knox Ridley
2022-06-03,SELL,SNOW,131.58,,Knox Ridley
2022-05-26,BUY,AVAX,24.03,,Knox Ridley
2022-05-26,BUY,NVDA,172.73,,Knox Ridley
2022-05-26,BUY,DDOG,86.0,,Knox Ridley
2022-05-26,BUY,AVAXUSD,30.5,,Knox Ridley
2022-05-18,BUY,GOOGL,2252.5,,Knox Ridley
2022-05-14,BUY,BTCUSD,29198.0,,Knox Ridley
2022-05-14,BUY,ETHUSD,2001.0,,Knox Ridley
2022-05-13,BUY,BTCUSD,28488.0,,Knox Ridley
2022-05-12,SELL,TWLO,100.89,,Knox Ridley
2022-05-11,BUY,LINKUSD,7.48,,Knox Ridley
2022-05-10,SELL,NET,53.89,,Knox Ridley
2022-05-10,SELL,TSLA,811.21,,Knox Ridley
2022-05-09,BUY,ETHUSD,2276.0,,Knox Ridley
2022-05-09,BUY,BTCUSD,31989.0,,Knox Ridley
2022-05-09,BUY,LINKUSD,8.85,,Knox Ridley
2022-05-09,BUY,AVAXUSD,48.89,,Knox Ridley
2022-05-06,BUY,MDB,300.51,,Knox Ridley
2022-05-06,BUY,NVDA,191.49,,Knox Ridley
2022-05-06,SELL,DDOG,109.89,,Knox Ridley
2022-05-05,BUY,MSFT,276.09,,Knox Ridley
2022-05-05,BUY,SNOW,169.17,,Knox Ridley
2022-05-04,BUY,AMD,94.17,,Knox Ridley
2022-05-04,SELL,SNAP,27.48,,Knox Ridley
2022-05-03,BUY,TSLA,904.5,,Knox Ridley
2022-05-02,BUY,MSFT,279.81,,Knox Ridley
2022-04-28,SELL,AVAXUSD,67.61,,Knox Ridley
2022-04-28,SELL,MU,67.63,,Knox Ridley
2022-04-28,SELL,U,67.38,,Knox Ridley
2022-04-26,SELL,ETHUSD,2832.0,,Knox Ridley
2022-04-26,SELL,BTCUSD,38101.0,,Knox Ridley
2022-04-26,BUY,NET,91.76,,Knox Ridley
2022-04-26,BUY,ROKU,91.86,,Knox Ridley
2022-04-25,BUY,SNOW,186.18,,Knox Ridley
2022-04-25,BUY,MDB,375.67,,Knox Ridley
2022-04-25,BUY,NVDA,193.55,,Knox Ridley
2022-04-25,SELL,AVAXUSA,69.78,,Knox Ridley
2022-04-22,SELL,VYGVF,3.71,,Knox Ridley
2022-04-22,SELL,UPST,75.01,,Knox Ridley
2022-04-18,BUY,NET,106.32,,Knox Ridley
2022-04-15,BUY,AVAXUSD,76.94,,Knox Ridley
2022-04-15,BUY,ETHUSD,3022.0,,Knox Ridley
2022-04-15,BUY,BTCUSD,40412.0,,Knox Ridley
2022-04-11,SELL,SHOP,613.88,,Knox Ridley
2022-04-07,BUY,MDB,424.7,,Knox Ridley
2022-04-06,BUY,S,34.76,,Knox Ridley
2022-03-30,SELL,AMD,123.37,,Knox Ridley
2022-03-29,BUY,LINKUSD,16.23,,Knox Ridley
2022-03-27,BUY,LINKUSD,16.23,,Knox Ridley
2022-03-27,BUY,LINKUSD,16.23,,Knox Ridley
2022-03-27,BUY,LINKUSD,16.23,,Knox Ridley
2022-03-27,BUY,ETHUSD,3210.0,,Knox Ridley
2022-03-27,BUY,ETHUSD,3210.0,,Knox Ridley
2022-03-27,BUY,BTCUSD,46110.0,,Knox Ridley
2022-03-21,BUY,SHOP,694.1,,Knox Ridley
2022-03-17,BUY,S,37.31,,Knox Ridley
2022-03-16,BUY,SHOP,584.58,,Knox Ridley
2022-03-16,SELL,XPEV,24.22,,Knox Ridley
2022-03-10,SELL,BTC/ETH,39418.0,,Knox Ridley
2022-03-10,BUY,MDB,330.06,,Knox Ridley
2022-03-10,SELL,ASAN,36.75,,Knox Ridley
2022-03-08,BUY,U,80.3,,Knox Ridley
2022-03-08,BUY,SNOW,184.8,,Knox Ridley
2022-03-04,BUY,SNOW,218.9,,Knox Ridley
2022-03-01,BUY,AMD,116.7,,Knox Ridley
2022-02-28,SELL,ZM,123.9,,Knox Ridley
2022-02-25,SELL,IWM,201.26,,Knox Ridley
2022-02-25,SELL,QLD,65.4,,Knox Ridley
2022-02-25,SELL,IWM,198.46,,Knox Ridley
2022-02-25,SELL,QLD,63.5,,Knox Ridley
2022-02-24,BUY,UPST,129.8,,Knox Ridley
2022-02-24,BUY,MGNI,13.07,,Knox Ridley
2022-02-24,SELL,QLD,59.38,,Knox Ridley
2022-02-23,BUY,ROKU,119.6,,Knox Ridley
2022-02-23,BUY,SNAP,36.93,,Knox Ridley
2022-02-23,BUY,AMD,109.37,,Knox Ridley
2022-02-23,SELL,MNDY,132.98,,Knox Ridley
2022-02-23,SELL,QLD,61.8,,Knox Ridley
2022-02-22,SELL,IWM,195.8,,Knox Ridley
2022-02-22,SELL,LINKUSD,13.38,,Knox Ridley
2022-02-17,BUY,ROKU,151.15,,Knox Ridley
2022-02-17,SELL,SPY,440.8,,Knox Ridley
2022-02-16,BUY,AMD,114.5,,Knox Ridley
2022-02-16,SELL,RBLX,56.6,,Knox Ridley
2022-02-15,SELL,SPY,445.8,,Knox Ridley
2022-02-11,SELL,CFLT,54.7,,Knox Ridley
2022-02-11,SELL,AFRM,52.3,,Knox Ridley
2022-02-10,SELL,IWM,205.9,,Knox Ridley
2022-02-09,BUY,TWLO,200.11,,Knox Ridley
2022-02-04,SELL,SPY,448.3,,Knox Ridley
2022-02-03,SELL,LINKUSD,16.5,,Knox Ridley
2022-02-03,BUY,SNAP,24.95,,Knox Ridley
2022-02-03,BUY,MNDY,184.88,,Knox Ridley
2022-01-27,BUY,CFLT,58.6,,Knox Ridley
2022-01-25,BUY,DDOG,127.85,,Knox Ridley
2022-01-24,BUY,SNOW,258.2,,Knox Ridley
2022-01-21,BUY,ETHUSD,2837.0,,Knox Ridley
